t,src,seq,t_gen
0.255314,111,0,0.255314
0.256226,110,0,0.256226
0.256537,10,0,0.256537
0.256880,307,0,0.256880
0.257027,335,0,0.257027
0.258806,187,0,0.258806
0.259821,73,0,0.259821
0.261185,9,0,0.261185
0.261503,193,0,0.261503
0.265044,113,0,0.265044
0.265430,284,0,0.265430
0.267734,378,0,0.267734
0.268137,0,0,0.268137
0.268640,302,0,0.268640
0.269434,371,0,0.269434
0.269537,137,0,0.269537
0.269559,157,0,0.269559
0.271065,165,0,0.271065
0.271229,151,0,0.271229
0.272295,12,0,0.272295
0.272324,162,0,0.272324
0.274181,118,0,0.274181
0.274260,72,0,0.274260
0.275540,332,0,0.275540
0.277681,70,0,0.277681
0.279033,126,0,0.279033
0.280789,282,0,0.280789
0.281392,174,0,0.281392
0.282032,224,0,0.282032
0.285922,363,0,0.285922
0.287606,359,0,0.287606
0.289506,343,0,0.289506
0.289840,328,0,0.289840
0.289956,93,0,0.289956
0.290053,176,0,0.290053
0.290076,14,0,0.290076
0.290444,179,0,0.290444
0.291702,237,0,0.291702
0.292716,340,0,0.292716
0.296040,210,0,0.296040
0.296390,212,0,0.296390
0.298106,241,0,0.298106
0.298651,196,0,0.298651
0.298968,177,0,0.298968
0.304297,347,0,0.304297
0.304494,342,0,0.304494
0.304589,2,0,0.304589
0.305493,394,0,0.305493
0.305874,80,0,0.305874
0.309591,250,0,0.309591
0.310846,163,0,0.310846
0.312679,273,0,0.312679
0.312764,182,0,0.312764
0.312818,103,0,0.312818
0.315563,59,0,0.315563
0.316531,206,0,0.316531
0.316707,300,0,0.316707
0.316965,32,0,0.316965
0.317528,122,0,0.317528
0.319514,117,0,0.319514
0.320012,25,0,0.320012
0.321176,330,0,0.321176
0.321839,360,0,0.321839
0.324299,148,0,0.324299
0.324539,197,0,0.324539
0.324916,11,0,0.324916
0.326154,215,0,0.326154
0.328510,214,0,0.328510
0.330804,272,0,0.330804
0.331933,200,0,0.331933
0.332839,286,0,0.332839
0.333642,145,0,0.333642
0.333797,325,0,0.333797
0.333857,362,0,0.333857
0.335897,275,0,0.335897
0.335954,81,0,0.335954
0.336021,222,0,0.336021
0.336919,397,0,0.336919
0.338557,116,0,0.338557
0.340058,63,0,0.340058
0.340135,1,0,0.340135
0.340349,167,0,0.340349
0.341059,289,0,0.341059
0.341786,30,0,0.341786
0.342546,147,0,0.342546
0.342739,369,0,0.342739
0.343181,345,0,0.343181
0.345447,134,0,0.345447
0.348039,83,0,0.348039
0.348571,48,0,0.348571
0.353959,78,0,0.353959
0.354304,99,0,0.354304
0.354536,79,0,0.354536
0.356463,315,0,0.356463
0.356964,281,0,0.356964
0.357604,192,0,0.357604
0.360264,299,0,0.360264
0.360715,374,0,0.360715
0.361092,354,0,0.361092
0.362074,138,0,0.362074
0.363439,383,0,0.363439
0.369113,38,0,0.369113
0.369195,69,0,0.369195
0.369341,43,0,0.369341
0.373292,373,0,0.373292
0.373418,341,0,0.373418
0.382497,245,0,0.382497
0.382635,229,0,0.382635
0.385337,298,0,0.385337
0.385545,15,0,0.385545
0.386133,393,0,0.386133
0.386517,372,0,0.386517
0.387342,364,0,0.387342
0.387902,279,0,0.387902
0.390466,243,0,0.390466
0.391045,385,0,0.391045
0.397767,64,0,0.397767
0.398160,294,0,0.398160
0.400918,28,0,0.400918
0.401346,349,0,0.401346
0.403335,154,0,0.403335
0.403511,24,0,0.403511
0.410859,216,0,0.410859
0.411280,37,0,0.411280
0.413412,156,0,0.413412
0.415760,23,0,0.415760
0.416658,278,0,0.416658
0.416909,143,0,0.416909
0.418182,350,0,0.418182
0.419756,8,0,0.419756
0.424170,297,0,0.424170
0.425927,337,0,0.425927
0.426970,34,0,0.426970
0.428151,121,0,0.428151
0.428378,267,0,0.428378
0.435541,233,0,0.435541
0.435551,324,0,0.435551
0.438875,389,0,0.438875
0.439246,185,0,0.439246
0.440053,159,0,0.440053
0.442476,312,0,0.442476
0.442981,67,0,0.442981
0.443632,158,0,0.443632
0.444022,98,0,0.444022
0.444617,109,0,0.444617
0.444644,288,0,0.444644
0.445326,207,0,0.445326
0.445657,290,0,0.445657
0.445761,54,0,0.445761
0.445900,242,0,0.445900
0.446431,115,0,0.446431
0.447432,101,0,0.447432
0.447673,367,0,0.447673
0.448291,254,0,0.448291
0.448535,49,0,0.448535
0.448639,313,0,0.448639
0.449380,247,0,0.449380
0.450051,365,0,0.450051
0.450741,107,0,0.450741
0.453086,131,0,0.453086
0.453177,175,0,0.453177
0.455497,184,0,0.455497
0.455599,311,0,0.455599
0.456996,274,0,0.456996
0.457395,144,0,0.457395
0.458364,57,0,0.458364
0.459046,327,0,0.459046
0.459766,150,0,0.459766
0.462851,203,0,0.462851
0.463440,33,0,0.463440
0.464109,209,0,0.464109
0.465753,396,0,0.465753
0.467651,392,0,0.467651
0.468234,238,0,0.468234
0.468309,353,0,0.468309
0.468609,292,0,0.468609
0.468642,45,0,0.468642
0.468818,221,0,0.468818
0.470391,239,0,0.470391
0.472354,114,0,0.472354
0.478466,225,0,0.478466
0.479154,293,0,0.479154
0.480128,86,0,0.480128
0.483561,105,0,0.483561
0.483630,259,0,0.483630
0.484432,133,0,0.484432
0.484452,40,0,0.484452
0.485038,96,0,0.485038
0.485111,199,0,0.485111
0.486041,142,0,0.486041
0.487495,380,0,0.487495
0.487712,384,0,0.487712
0.487876,94,0,0.487876
0.488401,346,0,0.488401
0.489274,358,0,0.489274
0.489787,89,0,0.489787
0.490820,18,0,0.490820
0.492316,219,0,0.492316
0.492467,253,0,0.492467
0.495571,152,0,0.495571
0.496037,295,0,0.496037
1.000604,291,1,1.000604
1.001339,395,1,1.001339
1.001550,195,1,1.001550
1.002595,198,1,1.002595
1.004256,132,1,1.004256
1.004345,304,1,1.004345
1.004466,248,1,1.004466
1.009650,88,1,1.009650
1.010844,230,1,1.010844
1.010987,270,1,1.010987
1.012264,125,1,1.012264
1.012310,75,1,1.012310
1.012377,399,1,1.012377
1.012472,305,1,1.012472
1.012749,97,1,1.012749
1.013261,102,1,1.013261
1.014550,149,1,1.014550
1.014817,287,1,1.014817
1.016233,13,1,1.016233
1.016451,355,1,1.016451
1.018280,387,1,1.018280
1.018783,218,1,1.018783
1.019825,261,1,1.019825
1.021488,169,1,1.021488
1.022830,21,1,1.022830
1.026254,240,1,1.026254
1.027554,310,1,1.027554
1.027983,5,1,1.027983
1.029435,265,1,1.029435
1.032541,368,1,1.032541
1.035205,318,1,1.035205
1.035224,29,1,1.035224
1.036217,87,1,1.036217
1.039485,382,1,1.039485
1.041029,228,1,1.041029
1.042617,285,1,1.042617
1.043266,6,1,1.043266
1.045116,249,1,1.045116
1.046014,4,1,1.046014
1.046947,357,1,1.046947
1.047810,323,1,1.047810
1.048281,252,1,1.048281
1.048747,336,1,1.048747
1.049239,3,1,1.049239
1.049708,135,1,1.049708
1.049979,260,1,1.049979
1.050016,85,1,1.050016
1.053215,171,1,1.053215
1.056743,226,1,1.056743
1.056908,58,1,1.056908
1.058049,170,1,1.058049
1.060460,166,1,1.060460
1.060530,50,1,1.060530
1.061922,266,1,1.061922
1.065926,77,1,1.065926
1.065952,333,1,1.065952
1.066408,60,1,1.066408
1.068626,231,1,1.068626
1.072143,306,1,1.072143
1.072935,180,1,1.072935
1.074134,120,1,1.074134
1.074239,90,1,1.074239
1.074415,76,1,1.074415
1.076814,129,1,1.076814
1.080197,321,1,1.080197
1.084288,106,1,1.084288
1.085050,344,1,1.085050
1.089705,234,1,1.089705
1.092181,189,1,1.092181
1.093776,191,1,1.093776
1.094531,246,1,1.094531
1.096359,326,1,1.096359
1.097011,376,1,1.097011
1.100182,202,1,1.100182
1.100258,334,1,1.100258
1.100759,71,1,1.100759
1.102783,377,1,1.102783
1.105767,244,1,1.105767
